code,nameHeb,pronaunce,district,shire,naturalArea,monicipal,metro,religion,population,jewsAndOthers,jews,arabs,estbYear,type,ITM,altitude,orgazinationRelated,plansComit,policeArea,year,nameEng,localCuncil,name,lat,long
1220,אבירים,ABBIRIM,2,24,244.0,52.0,,1.0,227.0,227.0,211.0,,1980,370,19.0,2271577149.0,541.0,255.0,10004484.0,2018,Abbirim,212.0,Abbirim,33.038086,35.286044
182,אבן יהודה,EVEN YEHUDA,4,41,411.0,99.0,141.0,1.0,13700.0,13698.0,13495.0,2.0,1932,170,,1894468643.0,10.0,457.0,15000060.0,2018,Even Yehuda,,Even Yehuda,32.270042600000004,34.8809634
1081,אבן מנחם,EVEN MENAHEM,2,24,244.0,52.0,,1.0,297.0,297.0,293.0,,1960,310,1.0,2278277545.0,550.0,255.0,10004302.0,2018,Even Menahem,212.0,Even Menahem,33.075143,35.295219
783,אבן ספיר,EVEN SAPPIR,1,11,111.0,26.0,444.0,1.0,724.0,722.0,704.0,2.0,1950,310,1.0,2128463002.0,571.0,151.0,10002521.0,2018,Even Sappir,,Even Sappir,31.7625,35.134991
400,אבן שמואל,EVEN SHEMU'EL,6,61,612.0,34.0,,1.0,1675.0,1675.0,1673.0,,1956,350,,1775460940.0,150.0,631.0,10001813.0,2018,Even Shemu'el,,Even Shemu'el,31.576428999999997,34.762963
4011,אבני איתן,AVNE ETAN,2,29,294.0,71.0,,1.0,714.0,714.0,714.0,,1978,310,2.0,2719674774.0,346.0,219.0,10004579.0,2018,Avne Etan,211.0,Avne Etan,32.824808000000004,35.765777
3793,אבני חפץ,AVNE HEFEZ,7,73,,72.0,,1.0,1895.0,1895.0,1883.0,,1990,370,11.0,2070868793.0,143.0,710.0,10003262.0,2018,Avne Hefez,,Avne Hefez,32.284628000000005,35.074551
3786,אבנת,AVENAT,7,75,,74.0,,1.0,185.0,185.0,185.0,,1983,370,,2414762075.0,-359.0,713.0,10003314.0,2018,Avenat,,Avenat,31.679039000000003,35.436945
1311,אבשלום,AVSHALOM,6,62,622.0,38.0,,1.0,274.0,274.0,196.0,,1990,370,10.0,1361956745.0,89.0,651.0,10001893.0,2018,Avshalom,620.0,Avshalom,31.195396999999996,34.3312
3759,אדורה,ADORA,7,77,,78.0,,1.0,440.0,440.0,434.0,,1984,370,9.0,2016960665.0,552.0,715.0,15003512.0,2018,Adora,,Adora,31.552219,35.017634
113,אדירים,ADDIRIM,2,23,234.0,8.0,,1.0,279.0,279.0,278.0,,1956,310,1.0,2257971719.0,69.0,204.0,10004394.0,2018,Addirim,213.0,Addirim,32.548941,35.271637
1068,אדמית,ADAMIT,2,24,244.0,4.0,,1.0,209.0,209.0,183.0,,1958,330,15.0,2199777600.0,409.0,201.0,10004302.0,2018,Adamit,212.0,Adamit,33.078842,35.209509999999995
1123,אדרת,ADDERET,1,11,112.0,26.0,444.0,1.0,848.0,848.0,848.0,,1961,310,1.0,1995861869.0,396.0,151.0,15000597.0,2018,Adderet,,Adderet,31.659715000000002,34.994440000000004
446,אודים,UDIM,4,41,411.0,19.0,141.0,1.0,1375.0,1375.0,1338.0,,1948,310,10.0,1858268581.0,10.0,401.0,15000060.0,2018,Udim,,Udim,32.266865,34.846995
4010,אודם,ODEM,2,29,292.0,71.0,,1.0,139.0,139.0,136.0,,1976,320,6.0,2702878880.0,1019.0,219.0,10004579.0,2018,Odem,211.0,Odem,33.1933716,35.7495651
1046,אוהד,OHAD,6,62,622.0,38.0,,1.0,407.0,389.0,387.0,18.0,1969,310,1.0,1458057199.0,131.0,651.0,10001893.0,2018,Ohad,620.0,Ohad,31.238436,34.431893
2710,אום אל-פחם,UMM AL-FAHM,3,32,323.0,0.0,,2.0,55182.0,44.0,21.0,55138.0,,250,,2145171399.0,139.0,354.0,10004249.0,2018,Umm al-Fahm,,Umm al-Fahm,32.517127,35.148528999999996
2024,אום אל-קוטוף,UMM AL-QUTUF,3,32,323.0,14.0,,2.0,1093.0,,,1093.0,,450,,2055370835.0,89.0,351.0,10004233.0,2018,Umm Al-Qutuf,,Umm Al-Qutuf,32.468084000000005,35.059149
1358,אום בטין,UMM BATIN,6,62,623.0,69.0,342.0,2.0,4093.0,13.0,12.0,4080.0,,290,,1886757656.0,310.0,624.0,10001937.0,2018,Umm Batin,610.0,Umm Batin,31.276743699999997,34.8829215
1108,אומן,OMEN,2,23,234.0,8.0,,1.0,368.0,368.0,342.0,,1958,350,,2230271878.0,64.0,204.0,10004394.0,2018,Omen,213.0,Omen,32.564279,35.241941
680,אומץ,OMEZ,4,41,412.0,16.0,141.0,1.0,832.0,831.0,820.0,1.0,1949,310,1.0,1996969743.0,27.0,409.0,15000060.0,2018,Omez,,Omez,32.369215999999994,34.993128999999996
31,אופקים,OFAQIM,6,62,622.0,0.0,,1.0,29021.0,28820.0,26936.0,201.0,1955,160,,1638257979.0,113.0,601.0,10001893.0,2018,Ofaqim,620.0,Ofaqim,31.311336999999998,34.622824
1294,אור הגנוז,OR HAGANUZ,2,21,212.0,2.0,,1.0,548.0,548.0,548.0,,1989,320,11.0,2421276781.0,716.0,209.0,10004528.0,2018,Or HaGanuz,211.0,Or HaGanuz,33.005183,35.446736
67,אור הנר,OR HANER,6,61,614.0,37.0,,1.0,754.0,754.0,726.0,,1957,330,15.0,1620260736.0,44.0,651.0,10001829.0,2018,Or HaNer,620.0,Or HaNer,31.556196999999997,34.602305
2400,אור יהודה,OR YEHUDA,5,52,512.0,0.0,122.0,1.0,36864.0,36805.0,36041.0,59.0,1950,160,,1863265962.0,1.0,510.0,10001516.0,2018,Or Yehuda,,Or Yehuda,32.029748,34.856173
1020,אור עקיבא,OR AQIVA,3,32,324.0,0.0,,1.0,18236.0,18143.0,16787.0,93.0,1951,170,,1927371262.0,10.0,353.0,10004261.0,2018,Or Aqiva,,Or Aqiva,32.509965,34.920394
780,אורה,ORA,1,11,111.0,26.0,444.0,1.0,1337.0,1334.0,1279.0,3.0,1950,310,1.0,2145762903.0,734.0,151.0,10002521.0,2018,Ora,,Ora,31.752109,35.150165
2012,אורות,OROT,6,61,611.0,33.0,143.0,1.0,507.0,507.0,502.0,,1952,310,1.0,1749262782.0,40.0,616.0,10001821.0,2018,Orot,420.0,Orot,31.740364000000003,34.7356
4013,אורטל,ORTAL,2,29,292.0,71.0,,1.0,343.0,343.0,343.0,,1978,330,15.0,2712077700.0,859.0,219.0,10004579.0,2018,Ortal,211.0,Ortal,33.086236,35.758661
403,אורים,URIM,6,62,622.0,38.0,,1.0,493.0,492.0,456.0,1.0,1946,330,15.0,1545457936.0,93.0,651.0,10001893.0,2018,Urim,620.0,Urim,31.304094,34.524868
882,אורנים,ORANIM,3,31,311.0,12.0,222.0,1.0,179.0,95.0,94.0,84.0,1951,340,,2104973529.0,43.0,301.0,10004207.0,2018,Oranim,,Oranim,32.711224,35.109579
3760,אורנית,ORANIT,7,73,,99.0,145.0,1.0,8807.0,8797.0,8678.0,10.0,1985,180,,1995467087.0,60.0,718.0,10003262.0,2018,Oranit,,Oranit,32.131924,34.990809999999996
278,אושה,USHA,3,31,311.0,12.0,222.0,1.0,492.0,492.0,481.0,,1937,330,15.0,2110474459.0,19.0,301.0,10004207.0,2018,Usha,,Usha,32.796458,35.114584
565,אזור,AZOR,5,53,513.0,99.0,123.0,1.0,12854.0,12822.0,12084.0,32.0,1948,170,,1819465899.0,19.0,509.0,10001430.0,2018,Azor,,Azor,32.0245041,34.8058575
1157,אחווה,AHAWA,6,61,611.0,33.0,143.0,1.0,351.0,351.0,341.0,,1976,350,,1782062796.0,60.0,616.0,10001821.0,2018,Ahawa,420.0,Ahawa,31.7776829,35.22419779999999
821,אחוזם,AHUZZAM,6,61,612.0,50.0,,1.0,544.0,538.0,525.0,6.0,1950,310,2.0,1782260687.0,160.0,634.0,10001813.0,2018,Ahuzzam,,Ahuzzam,31.552682,34.770151
1330,אחוזת ברק,AHUZZAT BARAQ,2,23,234.0,9.0,,1.0,2256.0,2256.0,2197.0,,1998,190,,2320072762.0,129.0,254.0,10004394.0,2018,Ahuzzat Baraq,213.0,Ahuzzat Baraq,32.643101,35.338893
785,אחיהוד,AHIHUD,2,24,246.0,4.0,241.0,1.0,868.0,868.0,859.0,,1950,310,1.0,2165275698.0,20.0,201.0,10004315.0,2018,Ahihud,212.0,Ahihud,32.907405,35.171715
850,אחיטוב,AHITUV,4,41,412.0,16.0,141.0,1.0,1099.0,1099.0,1089.0,,1951,310,1.0,1993269934.0,39.0,409.0,15000060.0,2018,Ahituv,,Ahituv,32.387701,34.990826
804,אחיסמך,AHISAMAKH,4,43,432.0,25.0,142.0,1.0,1374.0,1374.0,1372.0,,1950,310,1.0,1914164919.0,58.0,424.0,10002261.0,2018,Ahisamakh,,Ahisamakh,31.931906,34.908576000000004
797,אחיעזר,AHI'EZER,4,43,432.0,40.0,133.0,1.0,1872.0,1871.0,1865.0,1.0,1950,310,2.0,1879365441.0,40.0,425.0,10002261.0,2018,Ahi'ezer,,Ahi'ezer,31.981671000000002,34.871821000000004
965,אטרש (שבט),ATRASH,6,62,623.0,,,3.0,,,,,,460,,1940057520.0,,699.0,10001937.0,2018,Atrash,,Atrash,31.264619,34.948586999999996
338,איבים,IBBIM,6,61,614.0,37.0,,1.0,277.0,277.0,40.0,,1991,340,,1629760477.0,69.0,651.0,10001829.0,2018,Ibbim,620.0,Ibbim,31.533596999999997,34.609697
716,אייל,EYAL,4,42,421.0,20.0,141.0,1.0,522.0,522.0,515.0,,1949,330,15.0,1982567982.0,67.0,417.0,10002155.0,2018,Eyal,,Eyal,32.210710999999996,34.978259
77,איילת השחר,AYYELET HASHAHAR,2,21,211.0,1.0,,1.0,1134.0,1134.0,1082.0,,1918,330,15.0,2541976987.0,143.0,253.0,10004540.0,2018,Ayyelet HaShahar,211.0,Ayyelet HaShahar,33.021115,35.576732
294,אילון,ELON,2,24,244.0,4.0,,1.0,1020.0,1014.0,987.0,6.0,1938,330,15.0,2206177423.0,217.0,201.0,10004302.0,2018,Elon,212.0,Elon,33.062526,35.219162
1126,אילות,ELOT,6,62,625.0,53.0,,1.0,317.0,312.0,294.0,5.0,1962,330,15.0,1960538819.0,41.0,608.0,10001955.0,2018,Elot,,Elot,29.580547999999997,34.963023
49,אילנייה,ILANIYYA,2,22,222.0,3.0,,1.0,490.0,484.0,463.0,6.0,1902,310,10.0,2384773998.0,199.0,206.0,10004552.0,2018,Ilaniyya,214.0,Ilaniyya,32.753908,35.408188
2600,אילת,ELAT,6,62,625.0,0.0,,1.0,51935.0,49675.0,41906.0,2260.0,1951,150,,1941738510.0,-5.0,602.0,10001955.0,2018,Elat,,Elat,29.557669,34.951925
1336,אירוס,IRUS,4,44,442.0,27.0,143.0,1.0,622.0,622.0,615.0,,2013,370,,1790064853.0,29.0,456.0,15002488.0,2018,Irus,,Irus,31.928574600000005,34.7766539
3762,איתמר,ITAMAR,7,72,,72.0,,1.0,1238.0,1237.0,1236.0,1.0,1984,370,11.0,2292167559.0,561.0,710.0,10003262.0,2018,Itamar,,Itamar,32.173869,35.308029
37,איתן,ETAN,6,61,612.0,34.0,,1.0,456.0,456.0,454.0,,1955,310,2.0,1761460898.0,150.0,631.0,10001813.0,2018,Etan,,Etan,31.572213,34.747909
886,איתנים,ETANIM,1,11,111.0,26.0,444.0,1.0,80.0,75.0,75.0,5.0,1952,340,,2091163181.0,683.0,151.0,15000597.0,2018,Etanim,,Etanim,31.7789,35.095169
478,אכסאל,IKSAL,2,23,237.0,99.0,,2.0,14500.0,6.0,1.0,14494.0,,270,,2307173191.0,90.0,257.0,10004394.0,2018,Iksal,213.0,Iksal,32.682085,35.320743
1339,אל -עזי,AL-AZY,6,61,611.0,35.0,,2.0,188.0,1.0,1.0,187.0,,450,,1809962556.0,80.0,632.0,10001821.0,2018,Al-Azy,420.0,Al-Azy,31.718868,34.814254
1316,אל -עריאן,AL-ARYAN,3,32,323.0,14.0,,2.0,191.0,,,191.0,,450,,2120271154.0,344.0,351.0,10004233.0,2018,Al-Aryan,,Al-Aryan,32.498076,35.125094
4003,אל -רום,EL-ROM,2,29,292.0,71.0,,1.0,392.0,392.0,375.0,,1971,330,15.0,2723178736.0,1039.0,219.0,10004579.0,2018,El-Rom,211.0,El-Rom,33.180519,35.770095
1359,אל סייד,AL SAYYID,6,62,623.0,69.0,342.0,2.0,5663.0,11.0,11.0,5652.0,,280,,1917857711.0,350.0,624.0,10001937.0,2018,Al Sayyid,610.0,Al Sayyid,31.281719,34.916298
1145,אלומה,ALUMMA,6,61,611.0,34.0,,1.0,514.0,514.0,514.0,,1965,350,,1757561777.0,80.0,631.0,10001813.0,2018,Alumma,,Alumma,31.652040999999997,34.742872
330,אלומות,ALUMMOT,2,22,221.0,6.0,,1.0,410.0,409.0,400.0,1.0,1941,330,15.0,2515173475.0,-8.0,214.0,10004552.0,2018,Alummot,214.0,Alummot,32.706628,35.546088
1182,אלון הגליל,ALLON HAGALIL,2,23,237.0,9.0,242.0,1.0,1115.0,1115.0,1108.0,,1980,310,1.0,2208574025.0,160.0,254.0,10004497.0,2018,Allon HaGalil,213.0,Allon HaGalil,32.756873999999996,35.220294
3579,אלון מורה,ELON MORE,7,72,,72.0,,1.0,1946.0,1946.0,1945.0,,1979,370,11.0,2314668228.0,551.0,710.0,10003262.0,2018,Elon More,,Elon More,32.234418,35.331201
3604,אלון שבות,ALLON SHEVUT,7,76,,76.0,445.0,1.0,3151.0,3151.0,3148.0,,1970,190,,2120261805.0,927.0,714.0,15000586.0,2018,Allon Shevut,,Allon Shevut,31.654871000000004,35.125256
429,אלוני אבא,ALLONE ABBA,2,23,237.0,9.0,242.0,1.0,991.0,991.0,990.0,,1948,320,6.0,2162873720.0,120.0,254.0,10004411.0,2018,Allone Abba,213.0,Allone Abba,32.730945,35.172028000000005
4017,אלוני הבשן,ALLONE HABASHAN,2,29,292.0,71.0,,1.0,445.0,445.0,444.0,,1981,320,2.0,2786977222.0,930.0,219.0,10004579.0,2018,Allone HaBashan,211.0,Allone HaBashan,33.044087,35.838507
868,אלוני יצחק,ALLONE YIZHAQ,3,32,324.0,14.0,,1.0,302.0,298.0,221.0,4.0,1949,340,,2006271295.0,54.0,351.0,10004333.0,2018,Allone Yizhaq,,Allone Yizhaq,32.509997,35.0052
285,אלונים,ALLONIM,2,23,235.0,9.0,242.0,1.0,504.0,504.0,494.0,,1938,330,15.0,2139173611.0,70.0,254.0,10004411.0,2018,Allonim,213.0,Allonim,32.721459,35.143399
4002,אלי-עד,ELI-AD,2,29,294.0,71.0,,1.0,401.0,401.0,385.0,,1968,310,1.0,2691974579.0,346.0,219.0,10004579.0,2018,Eli-Ad,211.0,Eli-Ad,32.806583,35.736575
1365,אליאב,ELIAV,6,61,612.0,50.0,,1.0,427.0,427.0,427.0,,2013,370,,1934260408.0,335.0,634.0,10001813.0,2018,Eliav,,Eliav,31.530203000000004,34.928414000000004
41,אליכין,ELYAKHIN,4,41,411.0,99.0,141.0,1.0,3486.0,3483.0,3446.0,3.0,1950,190,,1931870156.0,25.0,457.0,10004261.0,2018,Elyakhin,,Elyakhin,32.407659,34.925028000000005
1248,אליפז,ELIFAZ,6,62,625.0,53.0,,1.0,152.0,145.0,119.0,7.0,1982,330,15.0,2007941184.0,112.0,608.0,10001955.0,2018,Elifaz,,Elifaz,29.796248,35.012094
730,אליפלט,ELIFELET,2,21,213.0,55.0,,1.0,633.0,633.0,626.0,,1949,310,1.0,2515276149.0,284.0,253.0,10004540.0,2018,Elifelet,211.0,Elifelet,32.947834,35.548516
682,אליקים,ELYAQIM,2,23,236.0,13.0,,1.0,888.0,888.0,879.0,,1949,310,1.0,2065872642.0,209.0,254.0,10004394.0,2018,Elyaqim,213.0,Elyaqim,32.633345,35.067613
204,אלישיב,ELYASHIV,4,41,411.0,16.0,141.0,1.0,733.0,733.0,727.0,,1933,310,7.0,1917069855.0,10.0,409.0,15000060.0,2018,Elyashiv,,Elyashiv,32.380196000000005,34.909945
841,אלישמע,ELISHAMA,4,42,421.0,20.0,142.0,1.0,1199.0,1198.0,1191.0,1.0,1951,310,1.0,1934267328.0,24.0,417.0,10002133.0,2018,Elishama,,Elishama,32.154778,34.930461
1125,אלמגור,ALMAGOR,2,22,221.0,6.0,,1.0,389.0,389.0,377.0,,1961,310,1.0,2566875753.0,-74.0,214.0,10004552.0,2018,Almagor,214.0,Almagor,32.912709,35.602309999999996
3556,אלמוג,ALMOG,7,75,,74.0,,1.0,253.0,252.0,246.0,1.0,1977,330,15.0,2437863294.0,-296.0,713.0,10003314.0,2018,Almog,,Almog,31.790034000000002,35.461968
1309,אלעד,EL'AD,4,42,422.0,0.0,142.0,1.0,47866.0,47866.0,47847.0,,1998,160,,1960566200.0,50.0,422.0,10002168.0,2018,El'ad,,El'ad,32.04953,34.95075
3618,אלעזר,EL'AZAR,7,76,,76.0,445.0,1.0,2510.0,2510.0,2506.0,,1975,190,,2135261872.0,873.0,714.0,15000586.0,2018,El'azar,,El'azar,31.659676,35.143074
3750,אלפי מנשה,ALFE MENASHE,7,73,,99.0,145.0,1.0,7865.0,7864.0,7589.0,1.0,1983,180,,2014467560.0,70.0,703.0,10003262.0,2018,Alfe Menashe,,Alfe Menashe,32.170631,35.014858000000004
603,אלקוש,ELQOSH,2,24,244.0,52.0,,1.0,292.0,292.0,291.0,,1949,310,1.0,2306077091.0,600.0,255.0,10004484.0,2018,Elqosh,212.0,Elqosh,33.034294,35.326347999999996
3560,אלקנה,ELQANA,7,73,,99.0,145.0,1.0,3812.0,3812.0,3807.0,,1977,190,,2036366868.0,153.0,702.0,10003262.0,2018,Elqana,,Elqana,32.110566,35.032053999999995
772,אמונים,EMUNIM,6,61,611.0,33.0,143.0,1.0,979.0,979.0,963.0,,1950,310,1.0,1694062801.0,30.0,616.0,10001821.0,2018,Emunim,420.0,Emunim,31.743885,34.674492
1064,אמירים,AMIRIM,2,21,212.0,2.0,,1.0,837.0,836.0,786.0,1.0,1950,310,1.0,2425676027.0,443.0,209.0,10004528.0,2018,Amirim,211.0,Amirim,32.937351,35.450365000000005
1253,אמנון,AMNUN,2,21,213.0,55.0,,1.0,319.0,319.0,309.0,,1983,310,6.0,2537975663.0,-55.0,253.0,10004540.0,2018,Amnun,211.0,Amnun,32.904989,35.571135999999996
23,אמציה,AMAZYA,6,61,612.0,50.0,,1.0,353.0,349.0,346.0,4.0,1955,320,9.0,1918460450.0,330.0,634.0,10001813.0,2018,Amazya,,Amazya,31.531176000000002,34.914463
4012,אניעם,ANI'AM,2,29,293.0,71.0,,1.0,531.0,531.0,516.0,,1978,310,1.0,2695476260.0,389.0,219.0,10004579.0,2018,Ani'am,211.0,Ani'am,32.956638,35.739717999999996
960,אסד (שבט),ASAD,6,62,623.0,,,3.0,,,,,,460,,1880058150.0,,699.0,10001937.0,2018,Asad,,Asad,32.93445,35.268394
3754,אספר,ASFAR,7,77,,76.0,,1.0,835.0,835.0,835.0,,1983,370,8.0,2178461041.0,891.0,714.0,15000586.0,2018,Asfar,,Asfar,31.586152000000002,35.187594
529,אעבלין,I'BILLIN,2,24,241.0,99.0,241.0,2.0,13128.0,17.0,3.0,13111.0,,270,,2176474799.0,19.0,261.0,10004497.0,2018,I'billin,,I'billin,32.821799,35.19012
959,אפיניש (שבט),AFEINISH,6,62,623.0,,,3.0,,,,,,460,,1990058000.0,,699.0,10001937.0,2018,Afaynish,,Afaynish,,
4301,אפיק,AFIQ,2,29,294.0,71.0,,1.0,329.0,329.0,289.0,,1967,330,15.0,2660674275.0,309.0,219.0,10004579.0,2018,Afiq,211.0,Afiq,32.779428,35.702994
176,אפיקים,AFIQIM,2,22,221.0,6.0,,1.0,1494.0,1490.0,1427.0,4.0,1932,330,15.0,2544973191.0,-202.0,214.0,10004552.0,2018,Afiqim,214.0,Afiqim,32.680564000000004,35.577729999999995
313,אפק,AFEQ,2,24,246.0,4.0,241.0,1.0,684.0,671.0,665.0,13.0,1939,330,15.0,2122974931.0,11.0,201.0,10004207.0,2018,Afeq,212.0,Afeq,32.838316,35.12778
3650,אפרת,EFRAT,7,76,,99.0,445.0,1.0,10088.0,10088.0,10064.0,,1980,170,,2149861904.0,667.0,704.0,15000586.0,2018,Efrat,,Efrat,31.653589,35.149934
701,ארבל,ARBEL,2,22,222.0,3.0,,1.0,738.0,738.0,729.0,,1949,310,1.0,2456774647.0,20.0,206.0,10004552.0,2018,Arbel,214.0,Arbel,32.8241667,35.498611100000005
3598,ארגמן,ARGAMAN,7,75,,75.0,,1.0,133.0,133.0,130.0,,1968,310,9.0,2495167550.0,-200.0,712.0,10003262.0,2018,Argaman,,Argaman,32.17334,35.522285
714,ארז,EREZ,6,61,614.0,37.0,,1.0,517.0,517.0,506.0,,1949,330,15.0,1588860773.0,30.0,651.0,10001829.0,2018,Erez,620.0,Erez,31.55984,34.564889
3570,אריאל,ARI'EL,7,73,,0.0,145.0,1.0,20456.0,19866.0,16191.0,590.0,1978,160,,2178666790.0,350.0,701.0,10003262.0,2018,Ari'el,,Ari'el,32.104637,35.174514
1324,ארסוף,ARSUF,4,41,411.0,19.0,141.0,1.0,166.0,166.0,147.0,,1995,350,,1828768007.0,28.0,401.0,15000060.0,2018,Arsuf,,Arsuf,32.212841,34.815977000000004
71,אשבול,ESHBOL,6,62,621.0,42.0,,1.0,635.0,635.0,631.0,,1955,310,1.0,1683959504.0,158.0,651.0,10001930.0,2018,Eshbol,620.0,Eshbol,31.445515999999998,34.666654
1276,אשבל,ESHBAL,2,24,241.0,56.0,241.0,1.0,125.0,124.0,120.0,1.0,1979,330,10.0,2288975354.0,245.0,205.0,10004513.0,2018,Eshbal,210.0,Eshbal,32.876984,35.30601
70,אשדוד,ASHDOD,6,61,613.0,0.0,143.0,1.0,224628.0,224328.0,201388.0,300.0,1955,130,,1668963375.0,-14.0,603.0,10001836.0,2018,Ashdod,,Ashdod,31.804381,34.655314000000004
199,אשדות יעקב (איחוד),ASHDOT YA'AQOV(IHUD),2,22,221.0,6.0,,1.0,981.0,978.0,950.0,3.0,1933,330,15.0,2547172936.0,-206.0,214.0,10004552.0,2018,Ashdot Ya'aqov(Ihud),214.0,Ashdot Ya'aqov(Ihud),32.658770000000004,35.579637
188,אשדות יעקב (מאוחד),ASHDOT YA'AQOV(ME'UHAD),2,22,221.0,6.0,,1.0,513.0,509.0,476.0,4.0,1933,330,15.0,2549172982.0,-200.0,214.0,10004552.0,2018,Ashdot Ya'aqov(Me'uhad),214.0,Ashdot Ya'aqov(Me'uhad),32.664808,35.582769
1188,אשחר,ESHHAR,2,24,241.0,56.0,241.0,1.0,918.0,917.0,908.0,1.0,1986,370,13.0,2284175455.0,334.0,205.0,10004513.0,2018,Eshhar,210.0,Eshhar,32.885084,35.299622
3722,אשכולות,ESHKOLOT,7,77,,78.0,,1.0,567.0,567.0,563.0,,1982,370,11.0,1909858882.0,498.0,715.0,15003512.0,2018,Eshkolot,,Eshkolot,31.391171000000003,34.904856
2021,אשל הנשיא,ESHEL HANASI,6,62,622.0,42.0,344.0,1.0,355.0,355.0,342.0,,1952,340,,1711958167.0,180.0,651.0,10001893.0,2018,Eshel HaNasi,620.0,Eshel HaNasi,31.326828000000003,34.697497
1152,אשלים,ASHALIM,6,62,626.0,48.0,,1.0,550.0,548.0,525.0,2.0,1976,370,19.0,1713254166.0,320.0,620.0,10001918.0,2018,Ashalim,610.0,Ashalim,30.964245000000002,34.699674
